response_id,recorded_datetime,status,progress,is_finished,duration,duration_min,num_snippets,prolific_id
R_eOSosrnczqYqE9P,2020-09-22 10:37:23,IP Address,100,True,1252,21,96,5f56f670e492b316bbd2a47c
R_2XjJU6SMJAlU4I2,2020-09-22 10:40:27,IP Address,100,True,1074,18,120,5e703f3dd6d4336135b8818d
R_1CpRIVeWQ8AGNqi,2020-09-22 10:45:55,IP Address,100,True,2002,34,171,5f206e18fb9d281e91500fcd
R_2wQNxJNyQdjSeq9,2020-09-22 11:20:01,IP Address,100,True,1438,24,145,5d3cc9010e510a00013df6f6
R_qPe5vObZ349P3I5,2020-09-22 11:32:04,IP Address,100,True,3442,58,334,5ec5925cb3d6035afea34d20
R_2Bs2kBIw93NmaCj,2020-09-22 12:03:12,IP Address,100,True,2096,35,235,5e7e6df49867d653e250ade8
R_2wodESRdFsJZ5pq,2020-09-22 12:13:30,IP Address,100,True,2665,45,248,5f3e31e2769ffb267b9d1a24
R_PUpvfu7l6QKh6mJ,2020-09-22 12:35:56,IP Address,100,True,4449,75,223,5f4da07b144b1ca7f76c51ed
R_3p2QR3KSEVmy0d6,2020-09-23 09:20:35,Survey Preview,100,True,3303,56,122,
R_1mOvl29nViC00Om,2020-09-23 10:02:33,Survey Preview,100,True,1126,19,100,
R_27OU6CzuLPmcd3m,2020-09-24 15:44:41,IP Address,100,True,1517,26,104,5e5695b653966101689727e6
R_3RqnqavYAULCLRa,2020-09-24 15:54:49,IP Address,100,True,1827,31,114,5ccd9d0c95e4a30016d4652b
R_2YVCzat5Edfkexn,2020-09-24 15:57:00,IP Address,100,True,2116,36,199,5c587fb58fba0a000189f4d8
R_W2vxxai4v7q8uUF,2020-09-24 15:58:41,IP Address,100,True,2184,37,267,5cfa65c24b639a0019a45c8e
R_un8BFK0QoCkgDIJ,2020-09-24 16:02:46,IP Address,100,True,2117,36,186,5c8becf18f5b6400158e1214
R_RQRoTbUD7VIhjAl,2020-09-24 16:02:49,IP Address,100,True,2716,46,165,5eab7c4c10a7c01634f3b4ef
R_sp56F93gtkQUdoJ,2020-09-24 16:05:59,IP Address,100,True,2953,50,194,5d98bb1424a6e302b056c77e
R_3HMHg1x9JldKGTZ,2020-09-24 16:08:31,IP Address,100,True,2955,50,246,5e9b725d85157c0816f1f0dd
R_1NkwPymSEyk4XxD,2020-09-24 16:08:59,IP Address,100,True,3018,51,327,5c726ae51384ee0001115f7a
R_25vaA6Y5hES3mK1,2020-09-24 16:13:15,IP Address,100,True,2844,48,259,5defde6e8489380361975e4d
R_10oN9ythcAiiYDw,2020-09-24 16:13:53,IP Address,100,True,3376,57,271,5f53df1ad4ac6472fb4a0e50
R_2EmnKcS5x32ALWY,2020-09-24 16:15:33,IP Address,100,True,2652,45,243,5ea6572b086c724ee6eb019a
R_1DnTweJl3pGzMw3,2020-09-24 16:15:33,IP Address,100,True,3779,63,362,5dc0aa580133ef05c901e161
R_3G1W92LqOtRUYQG,2020-09-24 16:16:18,IP Address,100,True,2939,49,162,5e8f7fd24b34ff279115a2b4
R_22AfbP3zzvf2P8e,2020-09-24 16:16:23,IP Address,100,True,3565,60,318,5eac66ab9334300f4c37121b
R_2CCJfuuDFtNp298,2020-09-24 16:17:44,IP Address,100,True,3049,51,346,5edc753bcee6c1953c31dacd
R_PHYh8K85S7UfWdX,2020-09-24 16:19:06,IP Address,100,True,3064,52,187,5b09360c2971540001e3e248
R_yvwbGDRWRYQ756x,2020-09-24 16:20:57,IP Address,100,True,3859,65,269,5b02fe323bc9af0001909bc5
R_qCJbVB4JI2yQ1rz,2020-09-24 16:23:41,IP Address,100,True,2885,49,262,576c141ecef15b000137895a
R_3Miq1vPz4ry2c0t,2020-09-24 16:24:01,IP Address,100,True,3505,59,296,5f02fbee212873485f6ce5b8
R_3qrMJOeN0LPyHJz,2020-09-24 16:24:36,IP Address,100,True,4069,68,284,5eb44a4d4e9bd8289b01ccb5
R_1IbIXHu7uanaL2Y,2020-09-24 16:25:46,IP Address,100,True,3699,62,162,5dd6e561bd95ad000d495788
R_3kqcIc6gI78SxIM,2020-09-24 16:26:20,IP Address,100,True,3522,59,238,5ee3a20ec682de03c0234f67
R_22FdhiHG7WuRMCQ,2020-09-24 16:29:31,IP Address,100,True,4120,69,189,5cfba9da04fd2c001941a7e3
R_3qfBaSVHtzNpMaS,2020-09-24 16:33:50,IP Address,100,True,4198,70,208,5ee111bcc53e0f4bbf967e40
R_2tmciRl13xTlpOK,2020-09-24 16:48:46,IP Address,100,True,5340,89,328,59c1a5c0e3a73b00011a89ca
R_2QyrBITmGtNXaJt,2020-09-24 16:50:45,IP Address,100,True,5316,89,330,5d9ad74c0bc1550016bf4daf
R_1gBBeWaS2oVWQE8,2020-09-24 16:54:03,IP Address,100,True,5087,85,363,5f08f3e3ff3278174e40069b
R_10D9ysIiSEHlmBY,2020-09-24 16:54:08,IP Address,100,True,5189,87,240,5f63b9d3a83a7d0ecdda4eb2
R_W28XHcuJqnpaYlb,2020-09-24 16:55:55,IP Address,100,True,5226,88,219,5e2a5541e179570b9a3dcbc8
R_3PMFHWEQu81T0Q5,2020-09-24 17:05:36,IP Address,100,True,2381,40,287,5f4bccaefca4707a4ca6ba7d
R_1loCw6wUB91vE14,2020-09-24 17:30:45,IP Address,100,True,7432,124,275,5e5c3d75348de24188d2c698
R_2f843yEHXAk7i3m,2020-09-24 18:00:20,IP Address,100,True,3791,64,166,5d17b6f2c9ee35001a76a33b
R_0PzB7lxnRvN82YN,2020-09-24 18:08:22,IP Address,100,True,3785,64,406,5e120c2c8dffa088ab11ce9e
R_2TttEoD2JLX1Hy1,2020-09-24 18:21:49,IP Address,100,True,1815,31,183,5f3e31e2769ffb267b9d1a24
R_RFtMei9xCfgQJlD,2020-09-24 18:55:10,IP Address,100,True,5323,89,441,5f6265b707ccb62ae21f22a2
R_1oFlyogshZ4NaQQ,2020-09-24 21:27:46,IP Address,100,True,3827,64,225,5c665e1948985d0001f09675
