gene	disease
A2M	Alzheimer disease
A2ML1	Otitis media, susceptibility to
A4GALT	p phenotype
AAAS	Glucocorticoid deficiency with achalasia
AAGAB	Keratosis palmoplantaris papulosa
AARS1	Epileptic encephalopathy, early infantile, 29
AARS1	Charcot-Marie-Tooth disease, type 2N
AARS2	Combined oxidative phosphorylation deficiency 8
AARS2	Leukoencephalopathy, progressive, with ovarian failure
AASS	Hyperlysinemia
ABAT	Gamma-aminobutyric acid transaminase deficiency
ABCA1	Familial hypoalphalipoproteinemia
ABCA1	Tangier disease
ABCA12	Autosomal recessive congenital ichthyosis 4B
ABCA12	Autosomal recessive congenital ichthyosis 4A
ABCA2	INTELLECTUAL DEVELOPMENTAL DISORDER WITH POOR GROWTH AND WITH OR WITHOUT SEIZURES OR ATAXIA
ABCA3	Surfactant metabolism dysfunction, pulmonary, 3
ABCA4	Stargardt disease 1
ABCA4	Retinitis pigmentosa 19
ABCA4	Cone-rod dystrophy 3
ABCA4	Age-related macular degeneration 2
ABCA5	Gingival fibromatosis-hypertrichosis syndrome
ABCA7	Alzheimer disease, type 9
ABCB1	Colchicine resistance
ABCB1	Inflammatory bowel disease 13
ABCB11	Benign recurrent intrahepatic cholestasis type 2
ABCB11	Progressive familial intrahepatic cholestasis 2
ABCB4	Progressive familial intrahepatic cholestasis 3
ABCB4	Cholestasis, intrahepatic, of pregnancy 3
ABCB4	Gallbladder disease 1
ABCB6	Dyschromatosis universalis hereditaria 3
ABCB6	Microphthalmia, isolated, with coloboma 7
ABCB6	Pseudohyperkalemia, familial, 2, due to red cell leak
ABCB6	Langereis blood group
ABCB7	X-linked sideroblastic anemia with ataxia
ABCC1	DEAFNESS, AUTOSOMAL DOMINANT 77
ABCC11	Apocrine gland secretion, variation in
ABCC2	Dubin-Johnson syndrome
ABCC6	Pseudoxanthoma elasticum, forme fruste
ABCC6	Pseudoxanthoma elasticum
ABCC6	Generalized arterial calcification of infancy 2
ABCC8	Transient neonatal diabetes mellitus 2
ABCC8	Diabetes mellitus type 2
ABCC8	DIABETES MELLITUS, PERMANENT NEONATAL 3
ABCC8	Hyperinsulinemic hypoglycemia, familial, 1
ABCC8	Permanent neonatal diabetes mellitus
ABCC8	Leucine-induced hypoglycemia
ABCC9	Dilated cardiomyopathy 1O
ABCC9	Hypertrichotic osteochondrodysplasia Cantu type
ABCC9	Primary dilated cardiomyopathy
ABCC9	Atrial fibrillation, familial, 12
ABCD1	Adrenoleukodystrophy
ABCD3	Bile acid synthesis defect, congenital, 5
ABCD4	Disorders of Intracellular Cobalamin Metabolism
ABCD4	Methylmalonic acidemia with homocystinuria, type cblJ
ABCG2	Blood group, Junior system
ABCG2	Uric acid concentration, serum, quantitative trait locus 1
ABCG5	SITOSTEROLEMIA 2
ABCG8	Gallbladder disease 4
ABCG8	Sitosterolemia 1
ABHD12	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract
ABHD5	Triglyceride storage disease with ichthyosis
ABL1	Chronic myelogenous leukemia, BCR-ABL1 positive
ABL1	CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME
ABO	ABO blood group system
ACACA	Acetyl-CoA: carboxylase deficiency
ACAD8	Deficiency of isobutyryl-CoA dehydrogenase
ACAD9	Acyl-CoA dehydrogenase family, member 9, deficiency of
ACADL	Long chain acyl-CoA dehydrogenase deficiency
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency
ACADS	Deficiency of butyryl-CoA dehydrogenase
ACADSB	Deficiency of 2-methylbutyryl-CoA dehydrogenase
ACADVL	Very long chain acyl-CoA dehydrogenase deficiency
ACAN	Spondyloepiphyseal dysplasia, kimberley type
ACAN	Osteochondritis dissecans
ACAN	Spondyloepimetaphyseal dysplasia, Aggrecan type
ACAT1	Deficiency of acetyl-CoA acetyltransferase
ACAT2	Acetyl-CoA acetyltransferase-2 deficiency
ACBD5	RETINAL DYSTROPHY WITH LEUKODYSTROPHY
ACD	Dyskeratosis congenita, autosomal dominant 6
ACE	Renal dysplasia
ACE	Hemorrhage, intracerebral, susceptibility to
ACE	Disorder of cardiovascular system
ACE	Microvascular complications of diabetes 3
ACER3	Alkaline ceramidase 3 deficiency
ACHE	Antigen in Cartwright blood group system
ACKR1	White blood cell count quantitative trait locus 1
ACKR1	Duffy Blood group system
ACKR1	Susceptibility to malaria
ACO2	Infantile cerebellar-retinal degeneration
ACO2	Optic atrophy 9
ACOX1	Peroxisomal acyl-CoA oxidase deficiency
ACOX1	MITCHELL SYNDROME
ACOX2	Bile acid synthesis defect, congenital, 6
ACP2	Acid phosphatase deficiency
ACP4	Amelogenesis imperfecta, type IJ
ACP5	Spondyloenchondrodysplasia with immune dysregulation
ACSF3	Combined malonic and methylmalonic aciduria
ACSL4	Mental retardation 63, X-linked
ACTA1	Congenital myopathy with fiber type disproportion
ACTA1	Myopathy, scapulohumeroperoneal
ACTA1	Congenital myopathy with excess of thin filaments
ACTA2	Aortic aneurysm, familial thoracic 6
ACTA2	Moyamoya disease 5
ACTA2	Multisystemic smooth muscle dysfunction syndrome
ACTB	Baraitser-Winter syndrome 1
ACTB	Developmental malformations-deafness-dystonia syndrome
ACTC1	Atrial septal defect 5
ACTC1	Dilated cardiomyopathy 1R
ACTC1	Primary dilated cardiomyopathy
ACTC1	Familial hypertrophic cardiomyopathy 11
ACTG1	Deafness, autosomal dominant 20
ACTG1	Baraitser-Winter Syndrome 2
ACTG2	Visceral myopathy
ACTL6B	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 76
ACTL6B	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS
ACTN1	Platelet-type bleeding disorder 15
ACTN2	MYOPATHY, DISTAL, 6, ADULT-ONSET, AUTOSOMAL DOMINANT
ACTN2	MYOPATHY, CONGENITAL, WITH STRUCTURED CORES AND Z-LINE ABNORMALITIES
ACTN2	Primary dilated cardiomyopathy
ACTN2	Dilated cardiomyopathy 1AA
ACTN2	Primary familial hypertrophic cardiomyopathy
ACTN3	ACTN3 deficiency
ACTN4	Focal segmental glomerulosclerosis 1
ACVR1	Progressive myositis ossificans
ACVR2B	Heterotaxy, visceral, 4, autosomal
ACVRL1	Telangiectasia, hereditary hemorrhagic, type 2
ACY1	Neurological conditions associated with aminoacylase 1 deficiency
ADA	Severe combined immunodeficiency due to ADA deficiency
ADA2	Polyarteritis nodosa, childhoood-onset
ADA2	Idiopathic livedo reticularis with systemic involvement
ADAM10	Alzheimer disease 18
ADAM10	Reticulate acropigmentation of Kitamura
ADAM17	Inflammatory skin and bowel disease, neonatal 1
ADAM22	Early infantile epileptic encephalopathy 61
ADAM9	Cone-rod dystrophy 9
ADAMTS10	Weill-Marchesani syndrome 1
ADAMTS13	Upshaw-Schulman syndrome
ADAMTS17	Weill-Marchesani syndrome 4
ADAMTS18	Microcornea, myopic chorioretinal atrophy, and telecanthus
ADAMTS2	Ehlers-Danlos syndrome dermatosparaxis type
ADAMTS3	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 3
ADAMTSL2	Geleophysic dysplasia 1
ADAMTSL4	Ectopia lentis et pupillae
ADAMTSL4	Ectopia lentis 2, isolated, autosomal recessive
ADAR	Symmetrical dyschromatosis of extremities
ADAR	Aicardi-Goutieres syndrome 6
ADARB1	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES
ADAT3	Mental retardation, autosomal recessive 36
ADCY1	Deafness, autosomal recessive 44
ADCY10	Familial idiopathic hypercalciuria
ADCY3	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19
ADCY5	Dyskinesia, familial, with facial myokymia
ADCY6	Lethal congenital contracture syndrome 8
ADD1	Essential hypertension
ADD3	Cerebral palsy, spastic quadriplegic, 3
ADGRE2	Vibratory urticaria
ADGRG1	Polymicrogyria, bilateral perisylvian, autosomal recessive
ADGRG1	Polymicrogyria, bilateral frontoparietal
ADGRG2	Vas deferens, congenital bilateral aplasia of, X-linked
ADGRG6	Lethal congenital contracture syndrome 9
ADGRV1	Usher syndrome, type 2C
ADGRV1	Febrile seizures, familial, 4
ADH1B	Alcohol dependence
ADH1C	Alcohol dependence
ADH1C	Parkinson disease, late-onset
ADIPOQ	Serum level of adiponectin 1
ADK	Hypermethioninemia due to adenosine kinase deficiency
ADNP	Helsmoortel-Van der Aa Syndrome
ADPRS	NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES
ADRB1	SHORT SLEEP, FAMILIAL NATURAL, 2
ADRB1	Resting heart rate
ADRB2	Asthma, susceptibility to
ADRB2	Obesity
ADRB3	Obesity
ADSL	Adenylosuccinate lyase deficiency
ADSS1	Myopathy, distal, 5
AEBP1	EHLERS-DANLOS SYNDROME, CLASSIC-LIKE, 2
AFF2	FRAXE
AFF4	Chops syndrome
AFG3L2	Spinocerebellar ataxia type 28
AFG3L2	OPTIC ATROPHY 12
AFG3L2	Spastic ataxia 5, autosomal recessive
AFP	Alpha-fetoprotein deficiency
AFP	Alpha-fetoprotein, hereditary persistence of
AGA	Aspartylglucosaminuria
AGBL1	Corneal dystrophy, Fuchs endothelial, 8
AGBL5	Retinitis pigmentosa 75
AGK	Cataract, autosomal recessive congenital 5
AGK	Sengers syndrome
AGL	Glycogen storage disease type III
AGPAT2	Congenital generalized lipodystrophy type 1
AGPS	Rhizomelic chondrodysplasia punctata type 3
AGRN	Myasthenic syndrome, congenital, 8
AGRP	Obesity
AGT	Renal dysplasia
AGT	Essential hypertension
AGTPBP1	NEURODEGENERATION, CHILDHOOD-ONSET, WITH CEREBELLAR ATROPHY
AGTR1	Renal dysplasia
AGTR1	Essential hypertension
AGXT	Primary hyperoxaluria, type I
AGXT2	Beta-aminoisobutyric aciduria
AHCY	Hypermethioninemia with s-adenosylhomocysteine hydrolase deficiency
AHDC1	Xia-Gibbs syndrome
AHI1	Joubert syndrome 3
AHR	Retinitis pigmentosa 85
AHSG	Alopecia-intellectual disability syndrome 1
AICDA	Hyper-IgM syndrome type 2
AIFM1	Combined oxidative phosphorylation deficiency 6
AIFM1	Deafness, X-linked 5
AIFM1	Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy
AIFM1	Cowchock syndrome
AIMP1	Hypomyelinating leukodystrophy 3
AIMP2	LEUKODYSTROPHY, HYPOMYELINATING, 17
AIP	Somatotroph adenoma
AIP	Pituitary dependent hypercortisolism
AIPL1	Leber congenital amaurosis 4
AIPL1	Retinitis pigmentosa
AIRE	Polyglandular autoimmune syndrome, type 1
AK1	Adenylate kinase deficiency, hemolytic anemia due to
AK2	Reticular dysgenesis
AK7	SPERMATOGENIC FAILURE 27
AKAP10	Conduction disorder of the heart
AKAP9	Long QT syndrome 11
AKR1C2	46,XY sex reversal 8
AKR1C4	46,XY sex reversal 8
AKR1D1	Congenital bile acid synthesis defect 2
AKT1	Proteus syndrome
AKT1	Colorectal cancer
AKT1	Familial cancer of breast
AKT1	Neoplasm of ovary
AKT1	Cowden syndrome 6
AKT2	Hypoglycemia, neonatal, simulating foetopathia diabetica
AKT2	Diabetes mellitus type 2
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2
ALAD	Porphobilinogen synthase deficiency
ALAS2	Protoporphyria, erythropoietic, X-linked
ALAS2	Anemia, sideroblastic, 1
ALB	Analbuminemia
ALB	Hyperthyroxinemia, familial dysalbuminemic
ALDH18A1	Spastic paraplegia 9b, autosomal recessive
ALDH18A1	Cutis laxa, autosomal recessive IIIA
ALDH18A1	Hereditary spastic paraplegia 9A
ALDH18A1	Cutis laxa, autosomal dominant 3
ALDH1A3	Microphthalmia, isolated 8
ALDH2	Acute alcohol sensitivity
ALDH3A2	Sjögren-Larsson syndrome
ALDH4A1	Deficiency of pyrroline-5-carboxylate reductase
ALDH5A1	Succinate-semialdehyde dehydrogenase deficiency
ALDH6A1	Methylmalonate semialdehyde dehydrogenase deficiency
ALDH7A1	Pyridoxine-dependent epilepsy
ALDOA	HNSHA due to aldolase A deficiency
ALDOB	Hereditary fructosuria
ALG1	ALG1-CDG
ALG1	ALG1-CDG
ALG10B	Long QT syndrome 2
ALG11	Congenital disorder of glycosylation type 1P
ALG12	ALG12-congenital disorder of glycosylation
ALG13	Congenital disorder of glycosylation
ALG13	Epileptic encephalopathy, early infantile, 36
ALG14	Myasthenic syndrome, congenital, 15
ALG2	ALG2-CDG
ALG2	Myasthenic syndrome, congenital, 14
ALG3	ALG3-CDG
ALG6	Congenital disorder of glycosylation type 1C
ALG8	POLYCYSTIC LIVER DISEASE 3 WITH OR WITHOUT KIDNEY CYSTS
ALG8	ALG8-CDG
ALG8	ALG8-CDG
ALG9	Gillessen-Kaesbach-Nishimura syndrome
ALG9	ALG9 congenital disorder of glycosylation
ALK	Neuroblastoma 3
ALKBH8	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 71
ALMS1	Alstrom syndrome
ALOX12B	Autosomal recessive congenital ichthyosis 2
ALOX5	Asthma, susceptibility to
ALOX5AP	Ischemic stroke
ALOXE3	Autosomal recessive congenital ichthyosis 3
ALOXE3	Autosomal recessive congenital ichthyosis 2
ALPK3	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC 27
ALPL	Infantile hypophosphatasia
ALPL	Adult hypophosphatasia
ALPL	Childhood hypophosphatasia
ALPL	Hypophosphatasia
ALS2	Amyotrophic lateral sclerosis type 2
ALS2	Infantile-onset ascending hereditary spastic paralysis
ALS2	Juvenile primary lateral sclerosis
ALX1	Frontonasal dysplasia 3
ALX3	Frontonasal dysplasia 1
ALX4	Frontonasal dysplasia 2
ALX4	Parietal foramina 2
ALX4	Craniosynostosis 5, susceptibility to
AMACR	Congenital bile acid synthesis defect 4
AMACR	Alpha-methylacyl-CoA racemase deficiency
AMBN	Amelogenesis imperfecta, type IF
AMELX	Amelogenesis imperfecta, type 1E
AMER1	Osteopathia striata with cranial sclerosis
AMH	Persistent Mullerian duct syndrome
AMHR2	Persistent Mullerian duct syndrome
AMMECR1	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis
AMN	Imerslund-Gräsbeck syndrome 2
AMPD1	Muscle AMP deaminase deficiency
AMPD2	Spastic paraplegia 63, autosomal recessive
AMPD2	Pontocerebellar hypoplasia, type 9
AMPD3	Erythrocyte AMP deaminase deficiency
AMT	Non-ketotic hyperglycinemia
AMTN	Amelogenesis imperfecta type 3B
ANAPC1	Rothmund-Thomson syndrome type 1
ANG	Amyotrophic lateral sclerosis type 9
ANGPTL3	Hypobetalipoproteinemia, familial, 2
ANGPTL4	Plasma triglyceride level quantitative trait locus
ANK1	Spherocytosis type 1
ANK2	Cardiac arrhythmia, ankyrin B-related
ANK3	Mental retardation, autosomal recessive 37
ANKH	Craniometaphyseal dysplasia, autosomal dominant
ANKH	Familial calcium pyrophosphate deposition
ANKLE2	Microcephaly 16, primary, autosomal recessive
ANKRD1	ANKRD1-related dilated cardiomyopathy
ANKRD1	Primary dilated cardiomyopathy
ANKRD11	KBG syndrome
ANKRD26	Thrombocytopenia 2
ANKS6	Nephronophthisis 16
ANLN	Focal segmental glomerulosclerosis 8
ANO10	Spinocerebellar ataxia, autosomal recessive 10
ANO3	Dystonia 24
ANO5	Miyoshi muscular dystrophy 3
ANO5	Limb-girdle muscular dystrophy, type 2L
ANO5	Gnathodiaphyseal dysplasia
ANO6	SCOTT SYNDROME
ANOS1	Hypogonadotropic hypogonadism 1 with or without anosmia
ANTXR1	Hemangioma, capillary infantile
ANTXR1	Odontotrichomelic syndrome
ANTXR2	Hyaline fibromatosis syndrome
ANXA11	Amyotrophic lateral sclerosis type 23
ANXA5	Pregnancy loss, recurrent, susceptibility to, 3
AP1B1	Autosomal recessive keratitis-ichthyosis-deafness syndrome
AP1S1	Mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis, and keratoderma
AP1S2	Pettigrew syndrome
AP1S3	Psoriasis 15, pustular, susceptibility to
AP2M1	INTELLECTUAL DEVELOPMENTAL DISORDER 60 WITH SEIZURES
AP2S1	Hypocalciuric hypercalcemia, familial, type III
AP3B1	Hermansky-Pudlak syndrome 2
AP3B2	Epileptic encephalopathy, early infantile, 48
AP3D1	Hermansky-Pudlak syndrome 10
AP4B1	Spastic paraplegia 47, autosomal recessive
AP4E1	Stuttering, familial persistent 1
AP4E1	Spastic paraplegia 51, autosomal recessive
AP4M1	Spastic paraplegia 50, autosomal recessive
AP4S1	Spastic paraplegia 52, autosomal recessive
AP5Z1	Spastic paraplegia 48, autosomal recessive
APC	Familial adenomatous polyposis
APC	Colorectal cancer
APC	Hepatocellular carcinoma
APC	Neoplasm of stomach
APC	Desmoid disease, hereditary
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC	Familial adenomatous polyposis 1
APC2	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 10
APC2	Sotos syndrome 3
APCDD1	Hypotrichosis 1
APOA1	HYPOALPHALIPOPROTEINEMIA, PRIMARY, 2
APOA1	Familial visceral amyloidosis, Ostertag type
APOA2	Familial hypercholesterolemia 1
APOA5	Familial hypertriglyceridemia
APOA5	Familial type 5 hyperlipoproteinemia
APOB	Familial hypercholesterolemia 2
APOB	Hypobetalipoproteinemia, familial, 1
APOC2	Apolipoprotein C2 deficiency
APOC3	Hyperalphalipoproteinemia 2
APOE	Sea-blue histiocyte syndrome
APOE	Alzheimer disease, type 4
APOE	Alzheimer disease 2
APOE	Familial type 3 hyperlipoproteinemia
APOE	Age-related macular degeneration 1
APOE	Lipoprotein glomerulopathy
APOL1	Focal segmental glomerulosclerosis 4, susceptibility to
APOL2	Schizophrenia
APOL4	Schizophrenia
APP	Alzheimer disease
APP	Cerebral amyloid angiopathy, APP-related
APPL1	Maturity-onset diabetes of the young, type 14
APRT	Adenine phosphoribosyltransferase deficiency
APTX	Ataxia-oculomotor apraxia type 1
AQP1	Colton Blood group system
AQP2	Nephrogenic diabetes insipidus, autosomal
AQP3	GIL BLOOD GROUP
AQP5	Palmoplantar keratoderma, Bothnian type
AQP7	Glycerol release during exercise, defective
AR	Bulbo-spinal atrophy X-linked
AR	Androgen resistance syndrome
AR	Partial androgen insensitivity syndrome
AR	Malignant tumor of prostate
AR	Hypospadias 1, X-linked
ARCN1	Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay
ARF1	PERIVENTRICULAR NODULAR HETEROTOPIA 8
ARFGEF2	Heterotopia, periventricular, autosomal recessive
ARG1	Arginase deficiency
ARHGAP26	Juvenile myelomonocytic leukemia
ARHGAP31	Adams-Oliver syndrome 1
ARHGDIA	Nephrotic syndrome, type 8
ARHGEF1	IMMUNODEFICIENCY 62
ARHGEF10	Slowed nerve conduction velocity, autosomal dominant
ARHGEF18	Retinitis pigmentosa 78
ARHGEF2	Neurodevelopmental disorder with midbrain and hindbrain malformations
ARHGEF9	Early infantile epileptic encephalopathy 8
ARID1A	Mental retardation, autosomal dominant 14
ARID1B	Coffin-Siris syndrome 1
ARID2	COFFIN-SIRIS SYNDROME 6
ARL13B	Joubert syndrome 8
ARL2BP	Retinitis pigmentosa 82 with or without situs inversus
ARL3	Retinitis pigmentosa 83
ARL3	JOUBERT SYNDROME 35
ARL6	Bardet-Biedl syndrome 1
ARL6	Bardet-Biedl syndrome 3
ARL6	Retinitis pigmentosa 55
ARL6	Retinitis pigmentosa
ARL6IP1	Spastic paraplegia 61, autosomal recessive
ARMC2	SPERMATOGENIC FAILURE 38
ARMC4	Primary ciliary dyskinesia 23
ARMC5	Acth-independent macronodular adrenal hyperplasia 2
ARMC9	JOUBERT SYNDROME 30
ARMS2	Age-related macular degeneration 8
ARNT2	Webb-Dattani syndrome
ARPC1B	IMMUNODEFICIENCY 71 WITH INFLAMMATORY DISEASE AND CONGENITAL THROMBOCYTOPENIA
ARR3	MYOPIA 26, X-LINKED, FEMALE-LIMITED
ARSA	Metachromatic leukodystrophy
