#GeneID	AssociatedGenes	RelatedGenes	ConceptID	DiseaseName	SourceName	SourceID	DiseaseMIM	LastUpdated
2	A2M		C0002395	Alzheimer disease	Human Phenotype Ontology	HP:0002511	104300	Feb 19 2020
144568	A2ML1		C1833692	Otitis media, susceptibility to	NCBI curation		166760	Feb 16 2016
53947	A4GALT		C3549485	p phenotype	NCBI curation		111400	Feb 16 2016
8086	AAAS		C0271742	Glucocorticoid deficiency with achalasia			231550	Feb 16 2016
79719	AAGAB		C1835662	Keratosis palmoplantaris papulosa			148600	Feb 16 2016
16	AARS1		C4225361	Epileptic encephalopathy, early infantile, 29	NCBI curation		616339	Feb 16 2016
16	AARS1		C2750090	Charcot-Marie-Tooth disease, type 2N	NCBI curation		613287	Feb 16 2016
57505	AARS2		C3279793	Combined oxidative phosphorylation deficiency 8	NCBI curation		614096	Feb 16 2016
57505	AARS2		C4014588	Leukoencephalopathy, progressive, with ovarian failure	NCBI curation		615889	Feb 16 2016
10157	AASS		C0543533	Hyperlysinemia	Human Phenotype Ontology	HP:0002161	238700	Feb 16 2016
18	ABAT		C0342708	Gamma-aminobutyric acid transaminase deficiency			613163	Feb 16 2016
19	ABCA1		C5231558	Familial hypoalphalipoproteinemia	NCBI curation		604091	May 25 2017
19	ABCA1		C0039292	Tangier disease			205400	Feb 16 2016
26154	ABCA12		C0598226	Autosomal recessive congenital ichthyosis 4B	NCBI curation		242500	Feb 16 2016
26154	ABCA12		C1832550	Autosomal recessive congenital ichthyosis 4A	NCBI curation		601277	Feb 16 2016
20	ABCA2		CN263395	INTELLECTUAL DEVELOPMENTAL DISORDER WITH POOR GROWTH AND WITH OR WITHOUT SEIZURES OR ATAXIA	OMIM	618808	618808	Mar 28 2020
21	ABCA3		C1970456	Surfactant metabolism dysfunction, pulmonary, 3	NCBI curation		610921	Feb 16 2016
24	ABCA4		C1855465	Stargardt disease 1	NCBI curation		248200	Feb 16 2016
24	ABCA4		C1866422	Retinitis pigmentosa 19	NCBI curation		601718	Feb 16 2016
24	ABCA4		C1858806	Cone-rod dystrophy 3	NCBI curation		604116	Jul  7 2020
24	ABCA4		C3495438	Age-related macular degeneration 2	NCBI curation	267718000	153800	Feb 16 2016
23461	ABCA5		C1851120	Gingival fibromatosis-hypertrichosis syndrome	MONDO	MONDO:0007610	135400	Apr 17 2020
10347	ABCA7		C4282179	Alzheimer disease, type 9	NCBI curation		608907	Feb 16 2016
5243	ABCB1		C1861502	Colchicine resistance	NCBI curation		120080	Feb 16 2016
5243	ABCB1		C2677101	Inflammatory bowel disease 13	NCBI curation		612244	Feb 16 2016
8647	ABCB11		C2608083	Benign recurrent intrahepatic cholestasis type 2	MONDO	MONDO:0011559	605479	Apr 22 2020
8647	ABCB11		C3489789	Progressive familial intrahepatic cholestasis 2	NCBI curation		601847	Feb 16 2016
5244	ABCB4		C1865643	Progressive familial intrahepatic cholestasis 3	NCBI curation		602347	Feb 16 2016
5244	ABCB4		C3554241	Cholestasis, intrahepatic, of pregnancy 3	NCBI curation		614972	Feb 16 2016
5244	ABCB4		C2609268	Gallbladder disease 1	NCBI curation		600803	Jan 11 2020
10058	ABCB6		C3809394	Dyschromatosis universalis hereditaria 3	NCBI curation		615402	Feb 16 2016
10058	ABCB6		C3281027	Microphthalmia, isolated, with coloboma 7	NCBI curation		614497	Feb 16 2016
10058	ABCB6		C1836705	Pseudohyperkalemia, familial, 2, due to red cell leak	NCBI curation		609153	Feb 16 2016
10058	ABCB6		C3276339	Langereis blood group	NCBI curation		111600	Feb 16 2016
22	ABCB7		C1845028	X-linked sideroblastic anemia with ataxia	MONDO	MONDO:0010524	301310	Apr 17 2020
4363	ABCC1		CN282602	DEAFNESS, AUTOSOMAL DOMINANT 77	OMIM	618915	618915	Jun 21 2020
85320	ABCC11		C1861696	Apocrine gland secretion, variation in	NCBI curation		117800	Feb 16 2016
1244	ABCC2		C0022350	Dubin-Johnson syndrome			237500	Feb 16 2016
368	ABCC6		C1867450	Pseudoxanthoma elasticum, forme fruste	MONDO	MONDO:0008333	177850	Feb 16 2016
368	ABCC6		C0033847	Pseudoxanthoma elasticum			264800	Feb 16 2016
368	ABCC6		C3276161	Generalized arterial calcification of infancy 2	NCBI curation		614473	Feb 16 2016
6833	ABCC8		C1835887	Transient neonatal diabetes mellitus 2	NCBI curation		610374	Feb 16 2016
6833	ABCC8		C0011860	Diabetes mellitus type 2	Human Phenotype Ontology	HP:0005978	125853	Jul  6 2018
6833	ABCC8		CN280869	DIABETES MELLITUS, PERMANENT NEONATAL 3	OMIM	618857	618857	May  2 2020
6833	ABCC8		C2931832	Hyperinsulinemic hypoglycemia, familial, 1	NCBI curation		256450	Dec 24 2019
6833	ABCC8		C1833104	Permanent neonatal diabetes mellitus	MONDO	MONDO:0011643	606176	May 27 2020
6833	ABCC8		C0271714	Leucine-induced hypoglycemia			240800	Feb 16 2016
10060	ABCC9		C1837839	Dilated cardiomyopathy 1O	NCBI curation	C1837839	608569	Feb 16 2016
10060	ABCC9		C0795905	Hypertrichotic osteochondrodysplasia Cantu type	MONDO	MONDO:0009406	239850	Apr 17 2020
10060	ABCC9		C0007193	Primary dilated cardiomyopathy	NCBI curation			Feb 16 2016
10060	ABCC9		C3279695	Atrial fibrillation, familial, 12	NCBI curation		614050	Feb 16 2016
215	ABCD1		C0162309	Adrenoleukodystrophy			300100	Feb 16 2016
5825	ABCD3		C4225390	Bile acid synthesis defect, congenital, 5	NCBI curation		616278	Feb 16 2016
5826	ABCD4		CN043592	Disorders of Intracellular Cobalamin Metabolism				Feb 16 2016
5826	ABCD4		C3553915	Methylmalonic acidemia with homocystinuria, type cblJ	MONDO	MONDO:0013925	614857	Apr 17 2020
9429	ABCG2		C3280986	Blood group, Junior system	NCBI curation		614490	Feb 16 2016
9429	ABCG2		C1841837	Uric acid concentration, serum, quantitative trait locus 1	NCBI curation		138900	Feb 16 2016
64240	ABCG5		C5231453	SITOSTEROLEMIA 2	OMIM	618666	618666	Nov 21 2019
64241	ABCG8		C1969115	Gallbladder disease 4	NCBI curation		611465	Feb 16 2016
64241	ABCG8		C5231390	Sitosterolemia 1	NCBI curation		210250	Jan 22 2020
26090	ABHD12		C2675204	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	NCBI curation		612674	Feb 16 2016
51099	ABHD5		C0268238	Triglyceride storage disease with ichthyosis			275630	Feb 16 2016
25	ABL1		C0023473	Chronic myelogenous leukemia, BCR-ABL1 positive	MONDO	MONDO:0011996	608232	Apr 17 2020
25	ABL1		C4539857	CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME	OMIM	617602	617602	Aug  4 2017
28	ABO		C0000778	ABO blood group system	NCBI curation		616093	Feb 16 2016
31	ACACA		C0268603	Acetyl-CoA: carboxylase deficiency	NCBI curation		613933	Feb 16 2016
27034	ACAD8		C1969809	Deficiency of isobutyryl-CoA dehydrogenase			611283	Feb 16 2016
28976	ACAD9		C4747517	Acyl-CoA dehydrogenase family, member 9, deficiency of	NCBI curation		611126	Feb 16 2016
33	ACADL		C0220711	Long chain acyl-CoA dehydrogenase deficiency				Feb 16 2016
34	ACADM		C0220710	Medium-chain acyl-coenzyme A dehydrogenase deficiency	NCBI curation		201450	Feb 16 2016
35	ACADS		C0342783	Deficiency of butyryl-CoA dehydrogenase			201470	Feb 16 2016
36	ACADSB		C1864912	Deficiency of 2-methylbutyryl-CoA dehydrogenase	NCBI curation		610006	Feb 16 2016
37	ACADVL		C3887523	Very long chain acyl-CoA dehydrogenase deficiency	NCBI curation		201475	Feb 16 2016
176	ACAN		C1842149	Spondyloepiphyseal dysplasia, kimberley type	NCBI curation		608361	Feb 16 2016
176	ACAN		C3665488	Osteochondritis dissecans			165800	Feb 16 2016
176	ACAN		C2748544	Spondyloepimetaphyseal dysplasia, Aggrecan type	MONDO	MONDO:0013014	612813	Feb 16 2016
38	ACAT1		C1536500	Deficiency of acetyl-CoA acetyltransferase			203750	Feb 16 2016
39	ACAT2		C0342735	Acetyl-CoA acetyltransferase-2 deficiency	NCBI curation		614055	Feb 16 2016
91452	ACBD5		CN280859	RETINAL DYSTROPHY WITH LEUKODYSTROPHY	OMIM	618863	618863	Apr 30 2020
65057	ACD		C4225284	Dyskeratosis congenita, autosomal dominant 6	NCBI curation		616553	Feb 16 2016
1636	ACE		C0266313	Renal dysplasia	Human Phenotype Ontology	HP:0000110	267430	Feb 16 2016
1636	ACE		C3281105	Hemorrhage, intracerebral, susceptibility to	NCBI curation		614519	Jun  5 2016
1636	ACE		C0007222	Disorder of cardiovascular system	NCBI curation			Feb 16 2016
1636	ACE		C2675470	Microvascular complications of diabetes 3	NCBI curation		612624	Feb 16 2016
55331	ACER3		C4540358	Alkaline ceramidase 3 deficiency	MONDO	MONDO:0044718	617762	Apr 17 2020
43	ACHE		C1862189	Antigen in Cartwright blood group system	NCBI curation		112100	Feb 16 2016
2532	ACKR1		C2676078	White blood cell count quantitative trait locus 1	NCBI curation		611862	Feb 16 2016
2532	ACKR1		C0013278	Duffy Blood group system	NCBI curation		110700	Feb 16 2016
2532	ACKR1		C1970028	Susceptibility to malaria	NCBI curation		611162	Feb 16 2016
50	ACO2		C3281192	Infantile cerebellar-retinal degeneration	NCBI curation		614559	Feb 16 2016
50	ACO2		C4225384	Optic atrophy 9	NCBI curation		616289	Feb 16 2016
51	ACOX1		C1849678	Peroxisomal acyl-CoA oxidase deficiency	MONDO	MONDO:0009919	264470	Apr 22 2020
51	ACOX1		CN283287	MITCHELL SYNDROME	OMIM	618960	618960	Jul 24 2020
8309	ACOX2		C4310624	Bile acid synthesis defect, congenital, 6	NCBI curation		617308	Jun 20 2017
53	ACP2		C0268410	Acid phosphatase deficiency			200950	Feb 16 2016
93650	ACP4		C4310630	Amelogenesis imperfecta, type IJ	NCBI curation		617297	Jun 20 2017
54	ACP5		C1842763	Spondyloenchondrodysplasia with immune dysregulation	NCBI curation		607944	May 16 2016
197322	ACSF3		C3280314	Combined malonic and methylmalonic aciduria	NCBI curation		614265	Feb 16 2016
2182	ACSL4		C1845672	Mental retardation 63, X-linked	NCBI curation		300387	Feb 16 2016
58	ACTA1		C0546264	Congenital myopathy with fiber type disproportion			255310	Feb 16 2016
58	ACTA1		C4225181	Myopathy, scapulohumeroperoneal	NCBI curation		616852	May 26 2016
58	ACTA1		C3711389	Congenital myopathy with excess of thin filaments	MONDO	MONDO:0020342	161800	Apr 17 2020
59	ACTA2		C2673186	Aortic aneurysm, familial thoracic 6	NCBI curation		611788	Feb 16 2016
59	ACTA2		C3279690	Moyamoya disease 5	NCBI curation		614042	Feb 16 2016
59	ACTA2		C3151201	Multisystemic smooth muscle dysfunction syndrome	NCBI curation		613834	Feb 16 2016
60	ACTB		C1855722	Baraitser-Winter syndrome 1	NCBI curation		243310	Feb 16 2016
60	ACTB		C1846331	Developmental malformations-deafness-dystonia syndrome	MONDO	MONDO:0011823	607371	Apr 17 2020
70	ACTC1		C2748552	Atrial septal defect 5	NCBI curation		612794	Feb 16 2016
70	ACTC1		C3150681	Dilated cardiomyopathy 1R	NCBI curation	CN035482	613424	Feb 16 2016
70	ACTC1		C0007193	Primary dilated cardiomyopathy	NCBI curation			Feb 16 2016
70	ACTC1		C2677506	Familial hypertrophic cardiomyopathy 11	NCBI curation		612098	Feb 16 2016
71	ACTG1		C1858172	Deafness, autosomal dominant 20	NCBI curation		604717	Feb 16 2016
71	ACTG1		C3281235	Baraitser-Winter Syndrome 2	NCBI curation		614583	Feb 16 2016
72	ACTG2		C0042781	Visceral myopathy	NCBI curation		155310	Feb 16 2016
51412	ACTL6B		C5193113	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 76	OMIM	618468	618468	Jun 21 2019
51412	ACTL6B		C5193115	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS	OMIM	618470	618470	Jun 21 2019
87	ACTN1		C3554663	Platelet-type bleeding disorder 15	NCBI curation		615193	Feb 16 2016
88	ACTN2		C5203349	MYOPATHY, DISTAL, 6, ADULT-ONSET, AUTOSOMAL DOMINANT	OMIM	618655	618655	Nov 10 2019
88	ACTN2		C5231445	MYOPATHY, CONGENITAL, WITH STRUCTURED CORES AND Z-LINE ABNORMALITIES	OMIM	618654	618654	Nov 10 2019
88	ACTN2		C0007193	Primary dilated cardiomyopathy	NCBI curation			Feb 16 2016
88	ACTN2		C2677338	Dilated cardiomyopathy 1AA	NCBI curation	C2677338	612158	Feb 16 2016
88	ACTN2		C0949658	Primary familial hypertrophic cardiomyopathy	NCBI curation			Feb 16 2016
89	ACTN3		C3888204	ACTN3 deficiency	NCBI curation		617749	Mar  6 2016
81	ACTN4		C4551527	Focal segmental glomerulosclerosis 1	NCBI curation		603278	Feb 16 2016
90	ACVR1		C0016037	Progressive myositis ossificans			135100	Feb 16 2016
93	ACVR2B		C3151057	Heterotaxy, visceral, 4, autosomal	NCBI curation		613751	Feb 16 2016
94	ACVRL1		C1838163	Telangiectasia, hereditary hemorrhagic, type 2	MONDO	MONDO:0010880	600376	Apr 22 2020
95	ACY1		C1835922	Neurological conditions associated with aminoacylase 1 deficiency	MONDO	MONDO:0012368	609924	Apr 17 2020
