gene	disease
ABCA1	Familial hypoalphalipoproteinemia
ABCA1	Tangier disease
ABCA12	Autosomal recessive congenital ichthyosis 4B
ABCA12	Autosomal recessive congenital ichthyosis 4A
ABCA3	Surfactant metabolism dysfunction, pulmonary, 3
ABCA7	Alzheimer disease, type 9
ABCB1	Colchicine resistance
ABCB1	Inflammatory bowel disease 13
ABCB4	Progressive familial intrahepatic cholestasis 3
ABCB4	Cholestasis, intrahepatic, of pregnancy 3
ABCB4	Gallbladder disease 1
ABCC11	Apocrine gland secretion, variation in
ABCC2	Dubin-Johnson syndrome
ABCC6	Pseudoxanthoma elasticum, forme fruste
ABCC6	Pseudoxanthoma elasticum
ABCC6	Generalized arterial calcification of infancy 2
ABCC8	Transient neonatal diabetes mellitus 2
ABCC8	Diabetes mellitus type 2
ABCC8	DIABETES MELLITUS, PERMANENT NEONATAL 3
ABCC8	Hyperinsulinemic hypoglycemia, familial, 1
ABCC8	Permanent neonatal diabetes mellitus
ABCC8	Leucine-induced hypoglycemia
ABCC9	Dilated cardiomyopathy 1O
ABCC9	Hypertrichotic osteochondrodysplasia Cantu type
ABCC9	Primary dilated cardiomyopathy
ABCC9	Atrial fibrillation, familial, 12
ABCD1	Adrenoleukodystrophy
ABCG2	Blood group, Junior system
ABCG2	Uric acid concentration, serum, quantitative trait locus 1
ABCG8	Gallbladder disease 4
ABCG8	Sitosterolemia 1
ABO	ABO blood group system
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency
ACADVL	Very long chain acyl-CoA dehydrogenase deficiency
ACAT1	Deficiency of acetyl-CoA acetyltransferase
ACE	Renal dysplasia
ACE	Hemorrhage, intracerebral, susceptibility to
ACE	Disorder of cardiovascular system
ACE	Microvascular complications of diabetes 3
ACKR1	White blood cell count quantitative trait locus 1
ACKR1	Duffy Blood group system
ACKR1	Susceptibility to malaria
ACTA2	Aortic aneurysm, familial thoracic 6
ACTA2	Moyamoya disease 5
ACTA2	Multisystemic smooth muscle dysfunction syndrome
ACTC1	Atrial septal defect 5
ACTC1	Dilated cardiomyopathy 1R
ACTC1	Primary dilated cardiomyopathy
ACTC1	Familial hypertrophic cardiomyopathy 11
ACTG1	Deafness, autosomal dominant 20
ACTG1	Baraitser-Winter Syndrome 2
ACTN1	Platelet-type bleeding disorder 15
ACTN3	ACTN3 deficiency
ACTN4	Focal segmental glomerulosclerosis 1
ADA	Severe combined immunodeficiency due to ADA deficiency
ADAM10	Alzheimer disease 18
ADAM10	Reticulate acropigmentation of Kitamura
ADAMTS13	Upshaw-Schulman syndrome
ADCY3	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19
ADCY5	Dyskinesia, familial, with facial myokymia
ADH1B	Alcohol dependence
ADH1C	Alcohol dependence
ADH1C	Parkinson disease, late-onset
ADIPOQ	Serum level of adiponectin 1
ADRB1	SHORT SLEEP, FAMILIAL NATURAL, 2
ADRB1	Resting heart rate
ADRB2	Asthma, susceptibility to
ADRB2	Obesity
ADRB3	Obesity
AFG3L2	Spinocerebellar ataxia type 28
AFG3L2	OPTIC ATROPHY 12
AFG3L2	Spastic ataxia 5, autosomal recessive
AGT	Renal dysplasia
AGT	Essential hypertension
AGTR1	Renal dysplasia
AGTR1	Essential hypertension
AGXT	Primary hyperoxaluria, type I
AHCY	Hypermethioninemia with s-adenosylhomocysteine hydrolase deficiency
AHSG	Alopecia-intellectual disability syndrome 1
