gene,snp,snippet
ABCA7,Rs3764650,later age at onset and shorter disease course
ABCA7,Rs3764650,Alzheimer's disease
ABP1,Rs2268999,diamine oxidase serum activities
ABP1,Rs2268999,lower DAO mRNA expressio
ABP1,Rs2268999,reduced DAO activity
AIPL1,Rs62637014, or W278X)This recessively inherited mutation is considered the most com
ALDOB,I5012663,hereditary fructosuria
ALPL,I5002774,pathogenic for the infantile form of hypophosphatasia
AOC1,Rs2268999,diamine oxidase serum activities
AOC1,Rs2268999,lower DAO mRNA expressio
AOC1,Rs2268999,reduced DAO activity
APOC3,Rs2542052,y be related to longevity. One study found that Ashkenazi who lived to 
ARMS2,Rs10490924,polypoidal choroidal vasculopathy
BAIAP2,Rs8079781,slightly lower (0.8-0.87x) risk for adult ADHD
BAK1,Rs210138, testicular cance
BRCA1,Rs80357389,breast cancer
BRCA1,Rs80357637,pathogenic for breast cancer
BRCA1,Rs80357711,breast cancer
BRCA1,Rs80357880,pathogenic for breast cancer
CARD11,Rs1064795307,pathogenic
CAV3,Rs116840785,rippling muscle disease
CAV3,Rs116840785,Novel missense mutation in the caveolin-3 gene in a Belgian family with rippling mu
CAV3,Rs116840785,cle disease.
CCDC122,Rs3088362,leprosy
CCR2,Rs1799864,recurrent venous thromboembolism
CD2AP,Rs9349407,Alzheimer's disease associated
CDH1,Rs587783048,pathogenic rare mutation for hereditary diffuse gastric cancer
CDH1,Rs786202033,pathogenic rare mutation for hereditary diffuse gastric cancer
CDH23,Rs1052484950,pathogenic
CFTR,I3002449,Cystic Fibrosis
CFTR,I4000299,ystic Fibrosi
CFTR,I4000300,Cystic Fibrosis
CFTR,I4000307,Cystic Fibrosis
CFTR,I4000316,Cystic Fibrosis
CFTR,I4000316,isrs12190
CFTR,I4000320,Cystic fibrosis
CFTR,I4000320,(CF)
CFTR,I4000322,Cystic Fibrosis
CFTR,I5006053,Cystic Fibrosis
CFTR,I5006075,ystic Fibrosi
CHAMP1,Rs863225077,"condition not specified, but based on similar mutations also in the CHAMP1 gene, likely to be a form of autosomal dominant mental retardation"
CHI3L1,Rs10399931,risk of coronary heart disease
CHI3L1,Rs10399931,plasma concentration
CHI3L1,Rs10399931,circulating YKL-40 levels
